IDCliente,Dependentes,MesesComoCliente,TipoContrato,FormaPagamento,TotalGasto
4701-MLJPN,Nao,31,Mensal,BoletoEletronico,1715.65
1205-WNWPJ,Nao,7,Mensal,BoletoImpresso,415.95
6158-HDPXZ,Nao,1,Mensal,BoletoImpresso,25.35
6683-VLCTZ,Nao,20,Mensal,BoletoEletronico,1842.8
3727-OWVYD,Nao,35,Anual,BoletoImpresso,2021.2
0856-NAOES,Nao,6,Mensal,BoletoImpresso,414.1
0562-FGDCR,Sim,72,2 anos,BoletoImpresso,5430.65
0956-SYCWG,Nao,13,Anual,BoletoEletronico,244.8
2277-VWCNI,Nao,4,Mensal,BoletoImpresso,179.85
3498-LZGQZ,Sim,63,2 anos,BoletoImpresso,1177.05
9135-MGVPY,Nao,69,2 anos,BoletoImpresso,5878.9
3815-SLMEF,Nao,3,Mensal,BoletoImpresso,139.35
4513-CXYIX,Nao,71,2 anos,CartaoCredito,5676
8944-AILEF,Nao,15,Mensal,CartaoCredito,340.85
1270-XKUCC,Sim,30,2 anos,BoletoImpresso,599.25
6633-SYEUS,Nao,23,Mensal,DebitoAutomatico,2032.3
8075-GXIUB,Nao,9,Anual,CartaoCredito,183.15
6016-NXBNJ,Nao,35,Anual,BoletoImpresso,638
9332-GYWLO,Sim,6,Mensal,BoletoEletronico,355.1
3276-HDUEG,Nao,1,Mensal,BoletoImpresso,75.05
5884-FBCTL,Sim,72,2 anos,DebitoAutomatico,1857.85
8999-YPYBV,Sim,45,2 anos,BoletoImpresso,3858.05
1522-VVDMG,Sim,7,Mensal,BoletoEletronico,608.8
0848-SOMKO,Nao,70,2 anos,DebitoAutomatico,3442.8
1657-DYMBM,Nao,53,2 anos,CartaoCredito,1110.05
6923-EFPNL,Nao,4,Mensal,CartaoCredito,201.1
2167-FQSTQ,Nao,72,2 anos,BoletoEletronico,6786.1
9286-BHDQG,Sim,72,2 anos,CartaoCredito,3139.8
7225-CBZPL,Nao,17,Mensal,BoletoEletronico,1563.9
5605-IYGFG,Nao,7,Mensal,DebitoAutomatico,515.45
6861-OKBCE,Sim,11,Mensal,CartaoCredito,221.35
7571-YXDAD,Nao,2,Mensal,CartaoCredito,147.15
0254-FNMCI,Nao,72,2 anos,BoletoEletronico,7624.2
8981-FJGLA,Sim,11,Mensal,BoletoImpresso,851.8
8414-MYSHR,Nao,5,Mensal,BoletoEletronico,449.75
9274-CNFMO,Nao,4,Mensal,BoletoEletronico,308.7
3794-NFNCH,Nao,30,Mensal,BoletoImpresso,1474.9
5158-RIVOP,Sim,11,2 anos,CartaoCredito,202.3
1100-DDVRV,Nao,17,Mensal,BoletoImpresso,836.35
9522-BNTHX,Nao,34,Mensal,BoletoEletronico,1765.95
3677-IYRBF,Nao,2,Mensal,BoletoEletronico,78.65
7009-PCARS,Sim,55,Anual,DebitoAutomatico,1001.5
8250-ZNGGW,Nao,5,Mensal,CartaoCredito,287.85
0967-BMLBD,Sim,11,Anual,BoletoImpresso,196.35
7594-RQHXR,Sim,1,Mensal,BoletoEletronico,79.6
8966-SNIZF,Nao,70,2 anos,DebitoAutomatico,1303.5
7235-NXZCP,Nao,2,Mensal,BoletoImpresso,156.4
0122-OAHPZ,Nao,7,Mensal,BoletoEletronico,511.25
7815-PDTHL,Nao,35,2 anos,BoletoImpresso,684.4
8331-ZXFOE,Nao,58,Anual,CartaoCredito,4299.2
8901-UPRHR,Sim,72,2 anos,DebitoAutomatico,7711.45
3563-SVYLG,Sim,68,2 anos,CartaoCredito,4375.8
3205-MXZRA,Nao,26,Anual,CartaoCredito,1507
5392-AKEMH,Nao,12,Mensal,BoletoEletronico,523.1
8201-AAXCB,Sim,25,Mensal,BoletoEletronico,1404.65
6919-ELBGL,Sim,72,2 anos,DebitoAutomatico,8196.4
0530-IJVDB,Sim,70,2 anos,BoletoEletronico,7882.5
5047-LHVLY,Sim,1,Mensal,BoletoImpresso,50.15
8404-FYDIB,Nao,26,Mensal,CartaoCredito,2208.75
3415-TAILE,Sim,2,Mensal,BoletoImpresso,134.35
2819-GWENI,Sim,28,Anual,BoletoImpresso,543
6164-HXUGH,Sim,6,Mensal,BoletoImpresso,119.3
6762-QVYJO,Sim,58,2 anos,BoletoImpresso,3624.35
5046-NUHWD,Nao,29,Mensal,BoletoEletronico,1228.65
0106-GHRQR,Nao,16,Mensal,DebitoAutomatico,1212.1
8374-XGEJJ,Nao,43,Mensal,BoletoEletronico,4388.4
2546-KZAAT,Nao,52,Anual,BoletoImpresso,3865.45
7569-NMZYQ,Sim,72,2 anos,DebitoAutomatico,8672.45
3279-DYZQM,Sim,71,2 anos,BoletoImpresso,1378.45
0374-FIUCA,Nao,65,2 anos,CartaoCredito,1414.45
3714-NTNFO,Nao,49,Mensal,BoletoEletronico,3906.7
8705-DWKTI,Nao,52,Mensal,CartaoCredito,4331.4
4195-SMMNX,Nao,2,Mensal,BoletoImpresso,33.2
2599-CIPQE,Sim,71,2 anos,CartaoCredito,7782.85
5136-GFPMB,Nao,54,Mensal,CartaoCredito,4869.5
6476-YHMGA,Sim,15,Mensal,DebitoAutomatico,1155.6
3055-MJDSB,Nao,9,Mensal,BoletoImpresso,190.1
7516-GMHUV,Nao,50,2 anos,CartaoCredito,5163.3
5940-NFXKV,Sim,19,Mensal,BoletoEletronico,1465.75
3597-YASZG,Nao,70,2 anos,DebitoAutomatico,7349.35
3786-WOVKF,Nao,72,Anual,DebitoAutomatico,7677.4
2806-MLNTI,Nao,52,Anual,DebitoAutomatico,5376.4
0799-DDIHE,Sim,15,Mensal,BoletoEletronico,639.45
9926-PJHDQ,Sim,72,2 anos,DebitoAutomatico,5468.45
0334-GDDSO,Nao,3,Mensal,BoletoEletronico,233.7
2371-KFUOG,Nao,58,Anual,DebitoAutomatico,5720.95
4634-JLRJT,Nao,1,Mensal,BoletoImpresso,20.35
5886-VLQVU,Nao,35,Mensal,DebitoAutomatico,3161.2
3194-ORPIK,Sim,50,Mensal,DebitoAutomatico,4116.15
6048-NJXHX,Nao,41,2 anos,BoletoEletronico,899.45
7860-KSUGX,Sim,72,2 anos,CartaoCredito,4720
2925-MXLSX,Nao,30,Anual,CartaoCredito,2038.7
2933-FILNV,Sim,2,Mensal,BoletoImpresso,36.55
7758-XKCBS,Nao,15,Mensal,BoletoEletronico,438.25
2027-DNKIV,Sim,37,Anual,BoletoImpresso,2203.1
4751-ERMAN,Sim,72,2 anos,DebitoAutomatico,5480.25
8224-KDLKN,Sim,72,2 anos,DebitoAutomatico,1738.9
7929-SKFGK,Nao,70,2 anos,CartaoCredito,8244.3
8329-IBCTI,Nao,1,Mensal,BoletoImpresso,19.65
5016-IBERQ,Nao,23,Mensal,BoletoEletronico,1968.1
5405-ZMYXQ,Nao,8,Mensal,CartaoCredito,548.9
7841-TZDMQ,Nao,2,Mensal,CartaoCredito,84.5
9754-CLVZW,Sim,26,Mensal,CartaoCredito,1025.15
9503-XJUME,Sim,52,Anual,CartaoCredito,928.4
3298-QEICA,Sim,23,2 anos,BoletoImpresso,813.45
9420-LOJKX,Nao,15,Mensal,CartaoCredito,1426.4
3391-JSQEW,Nao,40,Mensal,BoletoImpresso,2058.5
4939-KYYPY,Nao,27,Mensal,BoletoEletronico,1611.65
2061-VVFST,Nao,37,Mensal,DebitoAutomatico,805.2
6480-YAGIY,Nao,45,Anual,CartaoCredito,5031.85
0330-IVZHA,Nao,5,Mensal,BoletoEletronico,330.15
7161-DFHUF,Nao,71,2 anos,BoletoImpresso,1672.1
1260-TTRXI,Nao,4,Mensal,BoletoEletronico,195.3
8577-QSOCG,Sim,38,2 anos,BoletoImpresso,746.05
8963-JLGJT,Sim,3,Mensal,BoletoImpresso,157.55
3266-FTKHB,Nao,17,2 anos,BoletoImpresso,343.45
6122-LJADA,Sim,70,2 anos,CartaoCredito,6237.05
8710-YGLWG,Nao,1,Mensal,BoletoImpresso,44.9
6463-HHXJR,Sim,71,2 anos,DebitoAutomatico,7030.65
9576-SYUHJ,Nao,37,Mensal,BoletoEletronico,3369.25
9289-LBQVU,Nao,64,Anual,BoletoImpresso,4480.7
2207-QPJED,Nao,37,Mensal,BoletoEletronico,3371.75
6990-YNRIO,Sim,65,2 anos,DebitoAutomatico,6937.95
0489-WMEMG,Sim,23,Anual,BoletoEletronico,1119.35
2189-UXTKY,Nao,22,Mensal,BoletoEletronico,1742.75
7105-MXJLL,Nao,26,Anual,BoletoImpresso,1597.4
7133-VBDCG,Nao,25,Mensal,DebitoAutomatico,2015.35
9933-QRGTX,Nao,60,2 anos,BoletoEletronico,5611.75
6356-ELRKD,Nao,1,Mensal,BoletoEletronico,95.6
2194-IIQOF,Nao,71,2 anos,CartaoCredito,6388.65
8063-GBATB,Nao,27,Mensal,BoletoEletronico,2287.25
9611-CTWIH,Nao,3,Mensal,BoletoEletronico,240.45
3571-DPYUH,Sim,58,Anual,CartaoCredito,5430.35
8519-QJGJD,Nao,14,Mensal,BoletoEletronico,1025.95
5846-NEQVZ,Sim,71,2 anos,CartaoCredito,4973.4
6022-KOUQO,Sim,2,Mensal,DebitoAutomatico,44.75
7205-BAIAD,Nao,40,2 anos,DebitoAutomatico,827.3
9574-BOSMD,Sim,68,2 anos,DebitoAutomatico,1620.2
4884-TVUQF,Nao,57,2 anos,CartaoCredito,5779.6
6439-GTPCA,Nao,45,Mensal,BoletoEletronico,3941.7
3795-CAWEX,Sim,70,2 anos,CartaoCredito,8152.3
7821-DPRQE,Nao,68,Mensal,BoletoEletronico,7320.9
4983-CLMLV,Nao,52,Mensal,CartaoCredito,5138.1
2380-DAMQP,Nao,72,2 anos,BoletoEletronico,8349.7
7534-BFESC,Nao,24,Mensal,BoletoEletronico,1712.7
6695-FRVEC,Sim,67,2 anos,DebitoAutomatico,3953.7
0361-HJRDX,Nao,68,2 anos,CartaoCredito,4539.6
0354-VXMJC,Sim,23,2 anos,CartaoCredito,426.65
6559-ILWKJ,Nao,71,2 anos,BoletoEletronico,3515.25
9895-VFOXH,Nao,1,Mensal,BoletoImpresso,24.4
8229-BUJHX,Sim,71,2 anos,DebitoAutomatico,1500.95
4476-OSWTN,Nao,69,Anual,BoletoImpresso,7610.1
2995-UPRYS,Nao,40,Anual,CartaoCredito,4062.2
9208-OLGAQ,Nao,18,Mensal,BoletoEletronico,1443.65
4124-MMETB,Nao,22,Mensal,CartaoCredito,2104.55
8882-TLVRW,Sim,69,2 anos,BoletoImpresso,2779.5
2957-JIRMN,Nao,62,Anual,BoletoEletronico,4959.15
3646-ITDGM,Nao,56,2 anos,DebitoAutomatico,1051.9
2673-ZALNP,Nao,7,Anual,BoletoImpresso,173.15
9975-SKRNR,Nao,1,Mensal,BoletoImpresso,18.9
3724-UCSHY,Sim,6,Mensal,BoletoImpresso,122.9
0259-GBZSH,Nao,2,Mensal,BoletoEletronico,181.5
7130-CTCUS,Nao,16,Mensal,DebitoAutomatico,825.1
8150-QUDFX,Nao,2,Mensal,BoletoImpresso,51.6
8218-FFJDS,Nao,72,2 anos,DebitoAutomatico,6058.95
8259-NFJTV,Sim,7,Mensal,BoletoImpresso,246.6
7909-FIOIY,Sim,19,Mensal,BoletoImpresso,434.8
3317-VLGQT,Nao,14,Mensal,BoletoEletronico,1122.4
2722-VOJQL,Nao,64,Anual,CartaoCredito,6903.1
0584-BJQGZ,Nao,25,Mensal,DebitoAutomatico,1837.9
6732-VAILE,Sim,70,2 anos,CartaoCredito,5931.75
1302-TPUBN,Nao,66,2 anos,DebitoAutomatico,1240.8
8380-PEFPE,Sim,1,Mensal,BoletoEletronico,71.65
7402-PWYJJ,Nao,53,Anual,BoletoEletronico,4862.5
4250-FDVOU,Nao,6,Mensal,BoletoEletronico,389.1
9128-CPXKI,Nao,59,2 anos,BoletoEletronico,5655.45
4183-WCSEP,Nao,31,Mensal,BoletoEletronico,2435.15
0404-SWRVG,Nao,3,Mensal,BoletoEletronico,229.55
6227-HWPWX,Sim,15,Mensal,DebitoAutomatico,994.8
1899-VXWXM,Nao,48,Anual,CartaoCredito,5082.8
8450-JOVAH,Sim,2,Mensal,BoletoImpresso,113.55
4550-VBOFE,Nao,70,Mensal,BoletoEletronico,7101.5
9546-CQJSU,Nao,2,Mensal,BoletoEletronico,193.6
4789-KWMXN,Nao,47,Anual,CartaoCredito,5275.8
0835-DUUIQ,Sim,24,Anual,DebitoAutomatico,531.55
1855-AGAWH,Nao,31,Anual,BoletoEletronico,2939.8
9079-YEXQJ,Nao,54,Mensal,BoletoEletronico,6014.85
3577-AMVUX,Nao,1,Mensal,BoletoImpresso,55.05
2316-ESMLS,Sim,12,Anual,CartaoCredito,444.75
9426-SXNHE,Nao,2,Mensal,DebitoAutomatico,53.15
8550-XSXUQ,Nao,48,Anual,CartaoCredito,3420.5
0723-DRCLG,Nao,1,Mensal,BoletoEletronico,74.45
2176-OSJUV,Nao,71,2 anos,DebitoAutomatico,4681.75
0107-WESLM,Nao,1,Mensal,BoletoEletronico,19.85
8626-XHBIE,Sim,56,2 anos,BoletoImpresso,1424.2
0188-GWFLE,Nao,2,Mensal,BoletoImpresso,33.7
8166-ZZTFS,Nao,66,2 anos,DebitoAutomatico,5265.1
5774-QPLTF,Sim,50,Anual,BoletoImpresso,938.95
0929-PECLO,Nao,63,Mensal,DebitoAutomatico,5538.8
5696-QURRL,Nao,1,Mensal,BoletoImpresso,45.05
8124-NZVGJ,Nao,6,Anual,BoletoImpresso,255.6
4130-MZLCC,Nao,5,Mensal,DebitoAutomatico,244.75
4489-SNOJF,Sim,35,Mensal,BoletoEletronico,2568.55
8984-HPEMB,Nao,71,2 anos,BoletoEletronico,8477.6
4615-PIVVU,Nao,42,2 anos,CartaoCredito,2762.75
6848-HJTXY,Nao,64,2 anos,CartaoCredito,1208.6
8757-TFHHJ,Nao,1,Mensal,CartaoCredito,49.8
4603-JANFB,Nao,1,Mensal,BoletoEletronico,69.85
8565-HBFNN,Nao,69,Anual,CartaoCredito,7317.1
7422-WNBTY,Nao,33,Mensal,BoletoEletronico,3092
4712-UYOOI,Sim,20,Mensal,BoletoEletronico,417.65
3372-CDXFJ,Sim,13,Anual,DebitoAutomatico,343.6
5353-WILCI,Nao,28,Mensal,BoletoEletronico,1522.65
0988-AADSA,Sim,72,2 anos,DebitoAutomatico,5824.75
8270-RKSAP,Nao,9,Mensal,BoletoEletronico,597.9
5954-BDFSG,Nao,72,2 anos,CartaoCredito,7853.7
5792-JALQC,Nao,52,2 anos,DebitoAutomatico,3103.25
2202-OUTMO,Nao,34,Mensal,DebitoAutomatico,2003.6
9028-LIHRP,Sim,71,2 anos,CartaoCredito,7209
9150-KPBJQ,Nao,6,2 anos,CartaoCredito,116.85
4003-OCTMP,Nao,31,Anual,BoletoEletronico,1910.75
8775-LHDJH,Nao,1,Mensal,BoletoEletronico,90.6
6770-UAYGJ,Sim,49,2 anos,BoletoImpresso,1211.65
7596-IIWYC,Nao,27,2 anos,DebitoAutomatico,538.2
0887-WBJVH,Nao,53,Anual,BoletoEletronico,4872.2
8840-DQLGN,Nao,35,Mensal,DebitoAutomatico,3653.35
8413-VONUO,Nao,2,Mensal,BoletoEletronico,167.3
9281-PKKZE,Nao,46,Mensal,BoletoEletronico,2007.85
5186-PEIZU,Nao,35,Mensal,DebitoAutomatico,617.65
6339-YPSAH,Nao,9,Mensal,BoletoEletronico,704.3
2324-EFHVG,Nao,64,2 anos,DebitoAutomatico,6692.65
1918-ZBFQJ,Nao,13,Mensal,BoletoEletronico,1111.65
6968-GMKPR,Nao,55,Mensal,BoletoEletronico,4509.5
3062-ICYZQ,Sim,51,Mensal,BoletoEletronico,4539.35
2233-FAGXV,Sim,5,Mensal,BoletoImpresso,132.25
6017-PPLPX,Sim,20,Mensal,BoletoEletronico,1470.95
1982-FEBTD,Sim,23,2 anos,CartaoCredito,514.75
9705-IOVQQ,Sim,61,Anual,BoletoEletronico,5969.3
6288-CHQJB,Sim,54,2 anos,DebitoAutomatico,3871.85
3315-TOTBP,Nao,15,Mensal,BoletoImpresso,1130.85
6096-EGVTU,Sim,64,Anual,BoletoImpresso,1595.5
2937-FTHUR,Sim,18,Mensal,BoletoEletronico,1166.7
4062-HBMOS,Nao,52,Mensal,BoletoEletronico,5364.8
2387-KDZQY,Nao,17,Anual,BoletoImpresso,279.5
4609-KNNWG,Sim,27,2 anos,BoletoImpresso,550.1
0409-WTMPL,Nao,58,Anual,CartaoCredito,6526.65
3766-EJLFL,Sim,68,2 anos,DebitoAutomatico,7508.55
4232-JGKIY,Nao,1,Mensal,BoletoEletronico,19.2
0334-ZFJSR,Nao,55,Anual,CartaoCredito,3462.1
6582-OIVSP,Nao,1,Mensal,BoletoImpresso,45.3
8661-BOYNW,Nao,72,2 anos,CartaoCredito,6096.45
4257-GAESD,Nao,6,Mensal,CartaoCredito,298.7
8785-CJSHH,Nao,60,Mensal,BoletoEletronico,5985.75
5469-CTCWN,Sim,61,Anual,BoletoEletronico,6547.7
2839-RFSQE,Nao,2,Mensal,BoletoImpresso,38.7
4890-VMUAV,Nao,63,Anual,BoletoEletronico,4576.3
3365-SAIGS,Nao,17,Mensal,BoletoEletronico,1329.15
0946-CLJTI,Nao,58,Mensal,BoletoEletronico,5812.6
3920-HIHMQ,Sim,26,Mensal,BoletoImpresso,1265.65
5307-UVGNB,Sim,53,Mensal,DebitoAutomatico,2495.2
8780-RSYYU,Nao,25,Mensal,CartaoCredito,532.1
0742-NXBGR,Nao,1,Mensal,BoletoEletronico,82.3
8067-NIOYM,Sim,24,2 anos,CartaoCredito,490.65
5916-QEWPT,Nao,2,Mensal,CartaoCredito,147.8
1029-QFBEN,Nao,1,Mensal,BoletoImpresso,19.55
9251-WNSOD,Nao,67,Anual,BoletoImpresso,5064.45
6576-FBXOJ,Nao,17,Anual,BoletoEletronico,934.8
2501-XWWTZ,Nao,11,Mensal,BoletoEletronico,760.05
6080-LNESI,Nao,51,2 anos,BoletoImpresso,1234.6
7245-NIIWQ,Nao,3,Mensal,BoletoEletronico,199.85
6567-HOOPW,Nao,1,Mensal,BoletoEletronico,79.2
4550-EVXNY,Sim,1,Mensal,BoletoEletronico,69.65
6437-UDQJM,Nao,72,2 anos,CartaoCredito,6129.65
0297-RBCSG,Nao,19,Anual,DebitoAutomatico,1231.85
2097-YVPKN,Nao,65,2 anos,BoletoImpresso,1654.75
0853-NWIFK,Nao,45,Anual,BoletoEletronico,4483.95
4853-OITSN,Nao,5,Mensal,BoletoEletronico,413.25
6128-DAFVY,Nao,56,Mensal,CartaoCredito,2564.95
1197-BVMVG,Nao,4,Mensal,BoletoEletronico,294.45
7508-DQAKK,Nao,64,2 anos,CartaoCredito,5442.05
9938-PRCVK,Sim,41,2 anos,DebitoAutomatico,804.25
0289-IVARM,Nao,35,Mensal,BoletoEletronico,1982.6
8260-NGFNY,Nao,1,Mensal,BoletoImpresso,25.2
7074-IEVOJ,Nao,3,Mensal,BoletoEletronico,205.05
6614-YWYSC,Nao,61,2 anos,DebitoAutomatico,1501.75
8473-VUVJN,Nao,1,Mensal,BoletoEletronico,73.65
6693-DJWTY,Sim,35,Anual,CartaoCredito,2016.45
3655-SNQYZ,Sim,69,2 anos,CartaoCredito,7895.15
2845-KDHVX,Nao,64,2 anos,BoletoImpresso,4378.8
5027-YOCXN,Sim,51,Anual,CartaoCredito,5686.4
8884-MRNSU,Sim,17,Anual,DebitoAutomatico,329.75
0567-XRHCU,Sim,69,2 anos,CartaoCredito,2960.1
5868-CZJDR,Sim,1,Mensal,BoletoImpresso,31.35
4223-BKEOR,Sim,21,Anual,BoletoImpresso,1336.8
6035-RIIOM,Nao,54,2 anos,DebitoAutomatico,5129.45
3797-VTIDR,Nao,1,Mensal,BoletoEletronico,23.45
2568-BRGYX,Nao,4,Mensal,BoletoEletronico,237.95
2775-SEFEE,Sim,0,2 anos,DebitoAutomatico, 
4291-SHSBH,Nao,7,Mensal,BoletoEletronico,521.35
4635-EJYPD,Sim,32,2 anos,BoletoImpresso,613.95
2607-DHDAK,Sim,72,2 anos,CartaoCredito,1414.65
5204-QZXPU,Nao,19,Mensal,BoletoEletronico,733.35
0221-NAUXK,Sim,10,Anual,DebitoAutomatico,219.5
3398-ZOUAA,Nao,21,Mensal,BoletoEletronico,1474.75
1768-HNVGJ,Nao,45,Mensal,BoletoEletronico,3062.45
5917-RYRMG,Nao,32,Anual,CartaoCredito,587.7
3858-XHYJO,Nao,40,Anual,DebitoAutomatico,4228.55
4837-PZTIC,Nao,47,2 anos,BoletoImpresso,1875.25
2773-MADBQ,Nao,36,2 anos,BoletoImpresso,1901.25
1090-PYKCI,Sim,69,Anual,CartaoCredito,7234.8
9479-HYNYL,Nao,71,2 anos,CartaoCredito,5705.05
4565-NLZBV,Nao,71,2 anos,DebitoAutomatico,1710.15
8318-LCNBW,Nao,35,Anual,CartaoCredito,1930.9
9261-WDCAF,Nao,3,Mensal,BoletoImpresso,189.1
4909-JOUPP,Nao,72,2 anos,CartaoCredito,7898.45
1951-IEYXM,Sim,72,2 anos,CartaoCredito,6441.85
4227-OJHAL,Sim,68,Anual,CartaoCredito,5163
1708-PBBOA,Nao,42,Anual,BoletoEletronico,2348.45
8746-BFOAJ,Nao,21,Anual,DebitoAutomatico,429.55
4145-UQXUQ,Nao,8,Mensal,BoletoEletronico,729.95
9518-XXBXE,Nao,10,Mensal,BoletoEletronico,720.45
9558-IHEZX,Nao,71,2 anos,CartaoCredito,7283.25
1707-HABPF,Nao,46,Anual,DebitoAutomatico,4126.35
9643-AVVWI,Sim,3,Mensal,BoletoEletronico,241.3
3398-FSHON,Nao,12,Mensal,BoletoEletronico,1094.5
9139-TWBAS,Nao,26,Anual,DebitoAutomatico,1190.5
0929-HYQEW,Nao,3,Mensal,BoletoImpresso,160.85
0487-CRLZF,Nao,49,2 anos,DebitoAutomatico,3721.9
0454-OKRCT,Nao,33,2 anos,DebitoAutomatico,2651.1
2347-WKKAE,Nao,42,Mensal,BoletoEletronico,4014.6
6663-JOCQO,Sim,31,Anual,DebitoAutomatico,2344.5
1297-VQDRP,Sim,68,Anual,CartaoCredito,7379.8
4868-AADLV,Sim,66,Anual,BoletoEletronico,7862.25
0788-DXBFY,Sim,58,Anual,BoletoEletronico,1108.8
5845-BZZIB,Sim,35,2 anos,BoletoImpresso,655.3
7310-EGVHZ,Nao,1,Mensal,DebitoAutomatico,20.2
4826-TZEVA,Nao,40,Mensal,CartaoCredito,2971.7
4080-IIARD,Nao,13,Mensal,BoletoEletronico,981.45
7672-VFMXZ,Nao,57,Mensal,BoletoEletronico,3171.6
9940-RHLFB,Nao,1,Mensal,BoletoEletronico,75.3
9117-SHLZX,Nao,1,Mensal,BoletoImpresso,45.7
7253-UVNDW,Nao,46,2 anos,CartaoCredito,2460.15
9898-KZQDZ,Sim,40,Mensal,CartaoCredito,3640.45
8559-CIZFV,Sim,21,Anual,BoletoImpresso,1625
2506-CLAKW,Nao,6,Mensal,DebitoAutomatico,567.45
8591-TKMZH,Sim,59,2 anos,BoletoImpresso,6555.2
4925-LMHOK,Nao,15,Mensal,CartaoCredito,939.7
4971-PUYQO,Nao,27,Mensal,BoletoImpresso,2724.6
0186-CAERR,Nao,71,Anual,DebitoAutomatico,8309.55
6233-HXJMX,Nao,45,Mensal,CartaoCredito,4192.15
9367-OIUXP,Nao,4,Mensal,BoletoImpresso,73.05
4588-YBNIB,Nao,1,Mensal,BoletoImpresso,19.6
6467-CHFZW,Sim,47,Mensal,BoletoEletronico,4749.15
8148-BPLZQ,Nao,34,Mensal,BoletoEletronico,1734.2
0557-ASKVU,Sim,18,Anual,CartaoCredito,957.1
3354-OADJP,Nao,8,Anual,DebitoAutomatico,447.75
2259-OUUSZ,Nao,7,Anual,CartaoCredito,249.55
4919-IKATY,Sim,5,Mensal,BoletoEletronico,453.75
